TANGGAL,RR,Nama_Event,Ada_Event,Crowd_Scale,Volume_Total_Ton,Vol_Sisa_Makanan_Ton,Vol_Plastik_Ton,Hari_Ke,Is_Weekend,ZONA
2026-02-19,0.0,Imlek & Glodok Festival,1,1.1,8524.64,4251.21,1956.38,50,0,Tourism
2026-02-20,5.6,,0,0.0,7263.55,3622.32,1666.96,51,0,Residential
2026-02-21,0.0,,0,0.0,7444.17,3712.41,1708.47,52,1,Residential
2026-02-22,0.0,,0,0.0,7587.61,3783.97,1741.38,53,1,Residential
2026-02-23,0.0,,0,0.0,7355.29,3668.1,1688.03,54,0,Residential
2026-02-24,0.0,,0,0.0,7397.25,3688.98,1697.65,55,0,Residential
2026-02-25,0.0,,0,0.0,7244.64,3612.9,1662.63,56,0,Residential
2026-02-26,14.6,,0,0.0,7789.3,3884.5,1787.67,57,0,Residential
2026-02-27,1.0,,0,0.0,8017.61,3998.39,1840.07,58,0,Residential
2026-02-28,0.0,,0,0.0,8127.5,4053.21,1865.28,59,1,Residential
2026-03-01,0.0,,0,0.0,8481.6,4229.76,1946.51,60,1,Residential
2026-03-02,3.1,,0,0.0,7544.19,3762.26,1731.39,61,0,Residential
2026-03-03,0.0,,0,0.0,7880.54,3930.02,1808.61,62,0,Residential
2026-03-04,1.2,,0,0.0,8164.99,4071.87,1873.87,63,0,Residential
2026-03-05,0.0,,0,0.0,7823.17,3901.43,1795.44,64,0,Residential
2026-03-06,5.4,,0,0.0,8168.94,4073.84,1874.76,65,0,Residential
2026-03-07,14.1,,0,0.0,8973.36,4475.0,2059.39,66,1,Residential
2026-03-08,0.0,,0,0.0,8771.98,4374.6,2013.17,67,1,Residential
2026-03-09,0.0,,0,0.0,7453.47,3717.06,1710.57,68,0,Residential
2026-03-10,8.3,,0,0.0,7488.29,3734.44,1718.59,69,0,Residential
2026-03-11,0.0,,0,0.0,7230.57,3605.9,1659.45,70,0,Residential
2026-03-12,0.0,,0,0.0,7085.67,3533.64,1626.15,71,0,Residential
2026-03-13,0.0,,0,0.0,7235.86,3608.51,1660.66,72,0,Residential
2026-03-14,6.0,,0,0.0,8141.95,4060.41,1868.59,73,1,Residential
2026-03-15,0.0,,0,0.0,8508.98,4243.44,1952.82,74,1,Residential
2026-03-16,14.5,,0,0.0,7512.04,3746.28,1724.0,75,0,Residential
2026-03-17,16.9,,0,0.0,7513.19,3746.85,1724.26,76,0,Residential
2026-03-18,9.8,H-3 Lebaran,1,2.7,8397.63,4187.93,1927.29,77,0,Residential
2026-03-19,14.3,H-3 Lebaran,1,4.0,9163.91,4570.05,2103.13,78,0,Residential
2026-03-20,9.3,Idul Fitri,1,2.3,11435.56,5702.92,2624.49,79,0,Residential
2026-03-21,0.0,Idul Fitri,1,4.1,11952.02,5960.44,2742.97,80,1,Residential
2026-03-22,1.5,Idul Fitri,1,5.0,13542.07,6753.4,3107.9,81,1,Residential
2026-03-23,18.4,Idul Fitri,1,4.1,10067.32,5020.55,2310.43,82,0,Residential
2026-03-24,0.0,Idul Fitri,1,2.3,8520.95,4249.43,1955.55,83,0,Residential
2026-03-25,16.8,,0,0.0,8013.53,3996.36,1839.11,84,0,Residential
2026-03-26,17.6,,0,0.0,7981.13,3980.19,1831.66,85,0,Residential
2026-03-27,17.9,,0,0.0,8209.94,4094.28,1884.19,86,0,Residential
2026-03-28,0.0,,0,0.0,8329.38,4153.87,1911.56,87,1,Residential
2026-03-29,13.7,,0,0.0,8434.17,4206.14,1935.63,88,1,Residential
2026-03-30,11.7,,0,0.0,7416.8,3698.78,1702.17,89,0,Residential
2026-03-31,0.0,,0,0.0,6925.68,3453.86,1589.41,90,0,Residential
2026-04-01,0.0,,0,0.0,7418.77,3699.74,1702.61,91,0,Residential
2026-04-02,27.3,,0,0.0,7297.42,3639.19,1674.79,92,0,Residential
2026-04-03,0.0,,0,0.0,7534.07,3757.23,1729.1,93,0,Residential
2026-04-04,9.7,,0,0.0,8216.63,4097.65,1885.71,94,1,Residential
2026-04-05,0.0,,0,0.0,8131.06,4054.93,1866.1,95,1,Residential
2026-04-06,0.0,,0,0.0,7687.88,3833.95,1764.37,96,0,Residential
2026-04-07,24.4,,0,0.0,7778.23,3879.02,1785.12,97,0,Residential
2026-04-08,12.3,,0,0.0,7871.05,3925.31,1806.39,98,0,Residential
2026-04-09,0.0,Jakarta Art Festival,1,1.4,9156.97,4566.61,2101.54,99,0,Tourism
2026-04-10,14.8,Jakarta Art Festival,1,2.0,10019.38,4996.67,2299.48,100,0,Tourism
2026-04-11,9.0,Jakarta Art Festival,1,1.4,9610.08,4792.56,2205.51,101,1,Tourism
2026-04-12,0.0,,0,0.0,8165.19,4071.99,1873.94,102,1,Residential
2026-04-13,11.8,,0,0.0,7750.09,3864.95,1778.63,103,0,Residential
2026-04-14,27.3,,0,0.0,7604.99,3792.63,1745.33,104,0,Residential
2026-04-15,0.0,,0,0.0,7592.26,3786.26,1742.4,105,0,Residential
2026-04-16,0.0,,0,0.0,7832.79,3906.21,1797.6,106,0,Residential
2026-04-17,13.1,,0,0.0,7876.46,3927.98,1807.66,107,0,Residential
2026-04-18,12.4,,0,0.0,8590.54,4284.13,1971.53,108,1,Residential
2026-04-19,0.0,,0,0.0,9138.19,4557.19,2097.21,109,1,Residential
2026-04-20,0.0,,0,0.0,8558.26,4268.02,1964.15,110,0,Residential
2026-04-21,7.2,,0,0.0,8501.72,4239.82,1951.16,111,0,Residential
2026-04-22,24.3,,0,0.0,8328.36,4153.36,1911.37,112,0,Residential
2026-04-23,0.0,,0,0.0,8674.83,4326.15,1990.89,113,0,Residential
2026-04-24,0.0,,0,0.0,8388.97,4183.6,1925.25,114,0,Residential
2026-04-25,23.4,,0,0.0,8953.56,4465.13,2054.87,115,1,Residential
2026-04-26,0.0,,0,0.0,8393.43,4185.83,1926.27,116,1,Residential
2026-04-27,0.0,,0,0.0,7483.14,3731.83,1717.38,117,0,Residential
2026-04-28,37.7,,0,0.0,7999.59,3989.42,1835.93,118,0,Residential
2026-04-29,14.3,,0,0.0,7500.07,3740.29,1721.26,119,0,Residential
2026-04-30,0.0,May Day Rally,1,1.4,9399.66,4687.64,2157.25,120,0,Tourism
2026-05-01,14.5,May Day Rally,1,3.0,10756.51,5364.28,2468.64,121,0,Tourism
2026-05-02,13.4,May Day Rally,1,1.4,9989.46,4981.77,2292.6,122,1,Tourism
2026-05-03,10.0,,0,0.0,8153.22,4066.01,1871.13,123,1,Residential
2026-05-04,0.0,,0,0.0,7432.01,3706.36,1705.67,124,0,Residential
2026-05-05,26.7,,0,0.0,7717.62,3848.78,1771.18,125,0,Residential
2026-05-06,0.0,,0,0.0,7578.32,3779.32,1739.22,126,0,Residential
2026-05-07,0.0,,0,0.0,7633.58,3806.89,1751.89,127,0,Residential
2026-05-08,30.7,,0,0.0,8339.88,4159.09,1913.98,128,0,Residential
2026-05-09,30.6,,0,0.0,8813.11,4395.1,2022.59,129,1,Residential
2026-05-10,35.5,,0,0.0,8578.25,4277.95,1968.73,130,1,Residential
2026-05-11,30.4,,0,0.0,7581.37,3780.85,1739.92,131,0,Residential
2026-05-12,18.5,,0,0.0,8186.39,4082.56,1878.77,132,0,Residential
2026-05-13,27.4,,0,0.0,7572.46,3776.39,1737.88,133,0,Residential
2026-05-14,23.7,,0,0.0,7563.54,3771.94,1735.84,134,0,Residential
2026-05-15,0.0,,0,0.0,7966.36,3972.8,1828.29,135,0,Residential
2026-05-16,0.0,,0,0.0,7577.74,3779.0,1739.09,136,1,Residential
2026-05-17,0.0,,0,0.0,8524.32,4251.08,1956.32,137,1,Residential
2026-05-18,23.7,,0,0.0,8206.0,4092.3,1883.29,138,0,Residential
2026-05-19,0.0,,0,0.0,7848.96,3914.29,1801.36,139,0,Residential
2026-05-20,34.7,,0,0.0,8099.55,4039.27,1858.85,140,0,Residential
2026-05-21,21.7,,0,0.0,7783.13,3881.44,1786.2,141,0,Residential
2026-05-22,0.0,,0,0.0,7896.77,3938.1,1812.31,142,0,Residential
2026-05-23,32.7,,0,0.0,8439.97,4209.0,1936.96,143,1,Residential
2026-05-24,0.0,,0,0.0,8052.82,4015.97,1848.15,144,1,Residential
2026-05-25,9.7,,0,0.0,7765.87,3872.85,1782.26,145,0,Residential
2026-05-26,30.3,,0,0.0,7740.09,3859.99,1776.34,146,0,Residential
2026-05-27,25.1,,0,0.0,7961.39,3970.32,1827.14,147,0,Residential
2026-05-28,19.0,,0,0.0,8084.33,4031.63,1855.34,148,0,Residential
2026-05-29,36.3,PRJ Opening,1,2.3,11391.63,5681.01,2614.37,149,0,Tourism
2026-05-30,11.0,PRJ Opening,1,3.1,12697.35,6332.19,2914.04,150,1,Tourism
2026-05-31,0.0,PRJ Opening,1,3.8,13655.46,6810.0,3133.94,151,1,Tourism
2026-06-01,19.9,PRJ Opening,1,4.0,13501.26,6733.09,3098.54,152,0,Tourism
2026-06-02,0.0,PRJ Opening,1,3.8,11811.45,5890.35,2710.76,153,0,Tourism
2026-06-03,24.2,PRJ Opening,1,3.1,10222.61,5098.03,2346.08,154,0,Tourism
2026-06-04,0.0,PRJ Opening,1,2.3,9903.64,4938.93,2272.86,155,0,Tourism
2026-06-05,15.3,,0,0.0,8585.95,4281.83,1970.45,156,0,Residential
2026-06-06,0.0,,0,0.0,8986.15,4481.43,2062.32,157,1,Residential
2026-06-07,15.3,,0,0.0,9490.77,4733.03,2178.13,158,1,Residential
2026-06-08,25.0,,0,0.0,8704.43,4340.92,1997.64,159,0,Residential
2026-06-09,0.0,,0,0.0,8657.45,4317.49,1986.88,160,0,Residential
2026-06-10,17.8,,0,0.0,8432.26,4205.18,1935.18,161,0,Residential
2026-06-11,32.6,,0,0.0,8389.48,4183.85,1925.38,162,0,Residential
2026-06-12,25.4,,0,0.0,8452.13,4215.05,1939.77,163,0,Residential
2026-06-13,39.8,,0,0.0,8446.72,4212.38,1938.49,164,1,Residential
2026-06-14,0.0,Music Festival GBK,1,1.6,10840.61,5406.23,2487.93,165,1,Tourism
2026-06-15,29.6,Music Festival GBK,1,3.5,11550.99,5760.47,2650.97,166,0,Tourism
2026-06-16,33.7,Music Festival GBK,1,1.6,10760.71,5366.38,2469.59,167,0,Tourism
2026-06-17,0.0,,0,0.0,7506.63,3743.54,1722.79,168,0,Residential
2026-06-18,35.9,,0,0.0,8177.22,4077.98,1876.67,169,0,Residential
2026-06-19,22.7,,0,0.0,8766.0,4371.6,2011.77,170,0,Residential
2026-06-20,33.8,,0,0.0,9476.76,4726.03,2174.95,171,1,Residential
2026-06-21,34.9,,0,0.0,9540.36,4757.8,2189.53,172,1,Residential
2026-06-22,0.0,,0,0.0,7977.69,3978.47,1830.9,173,0,Residential
2026-06-23,27.4,,0,0.0,8166.46,4072.63,1874.19,174,0,Residential
2026-06-24,0.0,,0,0.0,8627.21,4302.4,1979.94,175,0,Residential
2026-06-25,0.0,,0,0.0,9066.69,4521.54,2080.78,176,0,Residential
2026-06-26,36.1,,0,0.0,8895.24,4436.03,2041.44,177,0,Residential
2026-06-27,0.0,,0,0.0,8390.69,4184.43,1925.63,178,1,Residential
2026-06-28,26.9,,0,0.0,8999.14,4487.86,2065.31,179,1,Residential
2026-06-29,34.7,,0,0.0,8766.7,4371.92,2011.96,180,0,Residential
2026-06-30,0.0,,0,0.0,8151.56,4065.18,1870.75,181,0,Residential
2026-07-01,26.6,,0,0.0,8212.36,4095.49,1884.76,182,0,Residential
2026-07-02,0.0,,0,0.0,7916.06,3947.72,1816.76,183,0,Residential
2026-07-03,8.4,,0,0.0,8135.14,4056.97,1867.0,184,0,Residential
2026-07-04,0.0,,0,0.0,8597.09,4287.37,1973.06,185,1,Residential
2026-07-05,12.2,,0,0.0,8921.66,4449.21,2047.55,186,1,Residential
2026-07-06,0.0,,0,0.0,7477.85,3729.22,1716.17,187,0,Residential
2026-07-07,0.0,,0,0.0,8116.29,4047.61,1862.67,188,0,Residential
2026-07-08,31.3,,0,0.0,8471.1,4224.54,1944.09,189,0,Residential
2026-07-09,0.0,,0,0.0,7607.98,3794.09,1746.03,190,0,Residential
2026-07-10,38.5,,0,0.0,7636.31,3808.23,1752.52,191,0,Residential
2026-07-11,22.5,,0,0.0,8258.07,4118.28,1895.2,192,1,Residential
2026-07-12,28.0,,0,0.0,9244.25,4610.09,2121.53,193,1,Residential
2026-07-13,31.1,,0,0.0,8592.25,4284.95,1971.92,194,0,Residential
2026-07-14,23.2,,0,0.0,7897.47,3938.49,1812.5,195,0,Residential
2026-07-15,45.0,,0,0.0,8390.05,4184.11,1925.5,196,0,Residential
2026-07-16,27.6,,0,0.0,7422.84,3701.78,1703.57,197,0,Residential
2026-07-17,30.6,,0,0.0,7504.72,3742.59,1722.35,198,0,Residential
2026-07-18,40.0,,0,0.0,8137.75,4058.3,1867.63,199,1,Residential
2026-07-19,35.9,PRJ Peak Weekend,1,3.5,13004.03,6485.11,2984.46,200,1,Tourism
2026-07-20,0.0,PRJ Peak Weekend,1,5.0,12972.01,6469.13,2977.07,201,0,Tourism
2026-07-21,21.0,PRJ Peak Weekend,1,3.5,12044.08,6006.41,2764.11,202,0,Tourism
2026-07-22,0.0,,0,0.0,8054.98,4017.05,1848.6,203,0,Residential
2026-07-23,32.4,,0,0.0,7708.58,3844.26,1769.14,204,0,Residential
2026-07-24,22.5,,0,0.0,7856.34,3917.99,1803.01,205,0,Residential
2026-07-25,0.0,,0,0.0,8448.75,4213.39,1939.0,206,1,Residential
2026-07-26,28.6,,0,0.0,8958.65,4467.67,2056.02,207,1,Residential
2026-07-27,25.7,,0,0.0,7889.9,3934.67,1810.72,208,0,Residential
2026-07-28,0.0,,0,0.0,7507.2,3743.86,1722.92,209,0,Residential
2026-07-29,18.4,,0,0.0,7928.22,3953.83,1819.5,210,0,Residential
2026-07-30,19.8,,0,0.0,7951.84,3965.61,1824.98,211,0,Residential
2026-07-31,30.9,,0,0.0,8010.92,3995.02,1838.54,212,0,Residential
2026-08-01,0.0,,0,0.0,7775.49,3877.62,1784.48,213,1,Residential
2026-08-02,0.0,,0,0.0,8192.31,4085.49,1880.11,214,1,Residential
2026-08-03,17.8,,0,0.0,7753.78,3866.8,1779.52,215,0,Residential
2026-08-04,0.0,,0,0.0,8056.13,4017.62,1848.85,216,0,Residential
2026-08-05,0.0,,0,0.0,8223.44,4101.02,1887.31,217,0,Residential
2026-08-06,19.7,,0,0.0,7867.74,3923.65,1805.62,218,0,Residential
2026-08-07,23.8,,0,0.0,7822.54,3901.11,1795.24,219,0,Residential
2026-08-08,0.0,,0,0.0,8441.62,4209.83,1937.35,220,1,Residential
2026-08-09,18.4,,0,0.0,8874.36,4425.66,2036.66,221,1,Residential
2026-08-10,27.2,,0,0.0,7455.82,3718.2,1711.14,222,0,Residential
2026-08-11,0.0,,0,0.0,7371.02,3675.93,1691.66,223,0,Residential
2026-08-12,26.1,,0,0.0,7094.97,3538.28,1628.31,224,0,Residential
2026-08-13,43.9,,0,0.0,7664.07,3822.1,1758.89,225,0,Residential
2026-08-14,25.7,,0,0.0,7594.68,3787.47,1742.97,226,0,Residential
2026-08-15,26.2,HUT RI ke-81,1,1.8,10750.01,5361.03,2467.11,227,1,Tourism
2026-08-16,0.0,HUT RI ke-81,1,3.3,11802.28,5885.83,2708.59,228,1,Tourism
2026-08-17,15.6,HUT RI ke-81,1,4.0,11523.1,5746.59,2644.54,229,0,Tourism
2026-08-18,0.0,HUT RI ke-81,1,3.3,11089.09,5530.13,2544.97,230,0,Tourism
2026-08-19,30.2,HUT RI ke-81,1,1.8,9856.4,4915.37,2262.04,231,0,Tourism
2026-08-20,0.0,,0,0.0,6569.91,3276.43,1507.79,232,0,Residential
2026-08-21,25.9,,0,0.0,7090.57,3536.05,1627.29,233,0,Residential
2026-08-22,0.0,,0,0.0,7713.03,3846.49,1770.16,234,1,Residential
2026-08-23,24.6,,0,0.0,8301.11,4139.73,1905.13,235,1,Residential
2026-08-24,0.0,,0,0.0,7185.12,3583.23,1649.0,236,0,Residential
2026-08-25,19.5,,0,0.0,7365.42,3673.13,1690.39,237,0,Residential
2026-08-26,17.1,,0,0.0,7628.74,3804.47,1750.81,238,0,Residential
2026-08-27,0.0,,0,0.0,7610.02,3795.11,1746.48,239,0,Residential
2026-08-28,21.4,,0,0.0,7527.64,3754.05,1727.57,240,0,Residential
2026-08-29,9.5,,0,0.0,7719.46,3849.67,1771.62,241,1,Residential
2026-08-30,9.3,,0,0.0,8029.51,4004.32,1842.8,242,1,Residential
2026-08-31,0.0,,0,0.0,7398.46,3689.62,1697.96,243,0,Residential
2026-09-01,0.0,,0,0.0,7371.53,3676.18,1691.79,244,0,Residential
2026-09-02,9.1,,0,0.0,6879.27,3430.69,1578.78,245,0,Residential
2026-09-03,0.0,,0,0.0,6966.87,3474.36,1598.9,246,0,Residential
2026-09-04,16.4,,0,0.0,6957.07,3469.46,1596.67,247,0,Residential
2026-09-05,10.4,,0,0.0,6286.48,3135.09,1442.73,248,1,Residential
2026-09-06,11.4,,0,0.0,6971.71,3476.78,1599.98,249,1,Residential
2026-09-07,31.2,,0,0.0,7328.3,3654.6,1681.86,250,0,Residential
2026-09-08,18.6,,0,0.0,7352.11,3666.51,1687.33,251,0,Residential
2026-09-09,17.1,,0,0.0,6943.57,3462.78,1593.55,252,0,Residential
2026-09-10,16.4,,0,0.0,7374.97,3677.9,1692.55,253,0,Residential
2026-09-11,19.9,,0,0.0,7336.19,3658.55,1683.64,254,0,Residential
2026-09-12,0.0,,0,0.0,7906.32,3942.88,1814.47,255,1,Residential
2026-09-13,0.0,,0,0.0,8701.51,4339.45,1997.0,256,1,Residential
2026-09-14,23.7,Food & Culture Expo,1,1.8,10098.71,5036.21,2317.68,257,0,Tourism
2026-09-15,10.9,Food & Culture Expo,1,2.5,9707.17,4840.95,2227.79,258,0,Tourism
2026-09-16,19.9,Food & Culture Expo,1,1.8,10204.4,5088.92,2341.88,259,0,Tourism
2026-09-17,9.2,,0,0.0,7121.0,3551.27,1634.3,260,0,Residential
2026-09-18,0.0,,0,0.0,7224.59,3602.9,1658.04,261,0,Residential
2026-09-19,2.9,,0,0.0,7329.38,3655.17,1682.11,262,1,Residential
2026-09-20,0.0,,0,0.0,8056.7,4017.88,1849.04,263,1,Residential
2026-09-21,14.8,,0,0.0,7839.47,3909.52,1799.13,264,0,Residential
2026-09-22,19.1,,0,0.0,7823.75,3901.69,1795.56,265,0,Residential
2026-09-23,12.5,,0,0.0,7417.37,3699.04,1702.29,266,0,Residential
2026-09-24,11.3,,0,0.0,7197.98,3589.66,1651.93,267,0,Residential
2026-09-25,5.2,,0,0.0,7461.81,3721.19,1712.48,268,0,Residential
2026-09-26,10.0,,0,0.0,7819.29,3899.46,1794.54,269,1,Residential
2026-09-27,0.0,,0,0.0,7821.2,3900.41,1794.99,270,1,Residential
2026-09-28,0.0,,0,0.0,6852.91,3417.57,1572.73,271,0,Residential
2026-09-29,0.0,,0,0.0,6928.1,3455.07,1589.99,272,0,Residential
2026-09-30,13.5,,0,0.0,6827.25,3404.78,1566.88,273,0,Residential
2026-10-01,0.0,,0,0.0,7381.65,3681.21,1694.08,274,0,Residential
2026-10-02,8.7,,0,0.0,6760.28,3371.35,1551.47,275,0,Residential
2026-10-03,0.0,,0,0.0,6897.92,3439.98,1583.05,276,1,Residential
2026-10-04,0.0,,0,0.0,6596.02,3289.41,1513.78,277,1,Residential
2026-10-05,1.6,,0,0.0,6116.62,3050.35,1403.76,278,0,Residential
2026-10-06,0.0,,0,0.0,6180.85,3082.37,1418.53,279,0,Residential
2026-10-07,0.0,,0,0.0,6559.03,3271.01,1505.31,280,0,Residential
2026-10-08,7.8,,0,0.0,6692.85,3337.74,1536.0,281,0,Residential
2026-10-09,12.6,Jakarta Marathon,1,1.4,8070.9,4024.94,1852.29,282,0,Tourism
2026-10-10,0.0,Jakarta Marathon,1,3.0,10133.92,5053.78,2325.71,283,1,Tourism
2026-10-11,0.0,Jakarta Marathon,1,1.4,9422.58,4699.04,2162.47,284,1,Tourism
2026-10-12,0.0,,0,0.0,7349.37,3665.11,1686.69,285,0,Residential
2026-10-13,23.0,,0,0.0,7244.83,3613.03,1662.69,286,0,Residential
2026-10-14,0.0,,0,0.0,7684.89,3832.48,1763.67,287,0,Residential
2026-10-15,13.0,,0,0.0,7634.91,3807.53,1752.21,288,0,Residential
2026-10-16,4.8,,0,0.0,7475.3,3727.94,1715.6,289,0,Residential
2026-10-17,0.0,,0,0.0,7705.46,3842.73,1768.38,290,1,Residential
2026-10-18,0.0,,0,0.0,7695.27,3837.64,1766.09,291,1,Residential
2026-10-19,0.0,,0,0.0,6580.04,3281.46,1510.15,292,0,Residential
2026-10-20,0.0,,0,0.0,6397.19,3190.29,1468.13,293,0,Residential
2026-10-21,9.6,,0,0.0,6957.96,3469.91,1596.86,294,0,Residential
2026-10-22,16.8,,0,0.0,7291.88,3636.46,1673.52,295,0,Residential
2026-10-23,0.0,,0,0.0,6776.96,3379.69,1555.29,296,0,Residential
2026-10-24,0.0,,0,0.0,6992.78,3487.29,1604.82,297,1,Residential
2026-10-25,16.6,,0,0.0,7481.29,3730.94,1716.94,298,1,Residential
2026-10-26,0.0,,0,0.0,6848.32,3415.28,1571.71,299,0,Residential
2026-10-27,0.0,,0,0.0,6923.51,3452.78,1588.97,300,0,Residential
2026-10-28,0.0,,0,0.0,7173.15,3577.25,1646.27,301,0,Residential
2026-10-29,0.0,,0,0.0,6833.05,3407.64,1568.21,302,0,Residential
2026-10-30,0.0,,0,0.0,6827.89,3405.09,1567.0,303,0,Residential
2026-10-31,0.0,,0,0.0,6946.05,3463.99,1594.12,304,1,Residential
2026-11-01,0.0,,0,0.0,7255.08,3618.12,1665.05,305,1,Residential
2026-11-02,0.0,,0,0.0,7022.26,3501.99,1611.63,306,0,Residential
2026-11-03,0.7,,0,0.0,6768.49,3375.43,1553.38,307,0,Residential
2026-11-04,0.0,,0,0.0,6235.67,3109.75,1431.08,308,0,Residential
2026-11-05,0.0,,0,0.0,6639.57,3311.12,1523.77,309,0,Residential
2026-11-06,0.0,,0,0.0,6936.25,3459.08,1591.9,310,0,Residential
2026-11-07,0.0,,0,0.0,7039.26,3510.46,1615.52,311,1,Residential
2026-11-08,7.0,,0,0.0,7520.12,3750.29,1725.85,312,1,Residential
2026-11-09,0.0,,0,0.0,7251.65,3616.4,1664.28,313,0,Residential
2026-11-10,2.8,,0,0.0,7445.19,3712.92,1708.66,314,0,Residential
2026-11-11,0.0,,0,0.0,7289.4,3635.25,1672.94,315,0,Residential
2026-11-12,5.1,,0,0.0,6958.34,3470.1,1596.93,316,0,Residential
2026-11-13,0.0,,0,0.0,6896.58,3439.35,1582.79,317,0,Residential
2026-11-14,0.0,,0,0.0,7198.61,3589.98,1652.06,318,1,Residential
2026-11-15,0.0,,0,0.0,7051.16,3516.45,1618.25,319,1,Residential
2026-11-16,0.0,,0,0.0,5837.63,2911.24,1339.72,320,0,Residential
2026-11-17,0.0,,0,0.0,6079.69,3031.95,1395.3,321,0,Residential
2026-11-18,0.0,,0,0.0,6157.11,3070.53,1413.06,322,0,Residential
2026-11-19,1.2,,0,0.0,6557.95,3270.44,1505.06,323,0,Residential
2026-11-20,0.0,,0,0.0,6717.3,3349.9,1541.6,324,0,Residential
2026-11-21,0.0,,0,0.0,7202.82,3592.02,1653.02,325,1,Residential
2026-11-22,1.3,,0,0.0,7308.75,3644.86,1677.34,326,1,Residential
